   0.0000000    0.0000002	181
   2.5000000    0.1515119	153
   5.0000000    0.3449173	138
   7.5000000    0.2325960	136
  10.0000000    0.2498103	145
  12.5000000    0.2813509	139
  15.0000000    0.2926317	148
  17.5000000    0.2339688	134
  20.0000000    0.3089163	129
  22.5000000    0.2904868	126
  25.0000000    0.3223911	126
  27.5000000    0.3966678	143
  30.0000000    0.2211082	152
  32.5000000    0.3435516	144
  35.0000000    0.2892044	155
  37.5000000    0.2611050	142
  40.0000000    0.2986510	149
  42.5000000    0.1824407	158
  45.0000000    0.2034606	149
  47.5000000    0.2652073	131
  50.0000000    0.2592214	120
  52.5000000    0.3631512	128
  55.0000000    0.2052150	149
  57.5000000    0.2210007	152
  60.0000000    0.3314365	140
  62.5000000    0.3355261	125
  65.0000000    0.2411861	150
  67.5000000    0.2832203	163
  70.0000000    0.2322021	157
  72.5000000    0.2443733	137
  75.0000000    0.2920092	156
  77.5000000    0.2348463	122
  80.0000000    0.2203226	143
  82.5000000    0.2174350	136
  85.0000000    0.3729362	147
  87.5000000    0.2795455	143
  90.0000000    0.2668205	156
  92.5000000    0.3515765	132
  95.0000000    0.3041208	125
  97.5000000    0.2892001	154
 100.0000000    0.3301456	80
 102.5000000    0.4381548	112
 105.0000000    0.3336472	124
 107.5000000    0.1594644	161
 110.0000000    0.1725583	146
 112.5000000    0.2023390	149
 115.0000000    0.2694069	127
 117.5000000    0.3168215	131
 120.0000000    0.1993227	156
 122.5000000    0.2554897	143
 125.0000000    0.3474589	141
 127.5000000    0.2585401	119
 130.0000000    0.2465627	136
 132.5000000    0.2456957	126
 135.0000000    0.2326476	140
 137.5000000    0.2397552	137
 140.0000000    0.1913995	144
 142.5000000    0.3991853	138
 145.0000000    0.2844858	130
 147.5000000    0.3309562	138
 150.0000000    0.3325529	134
 152.5000000    0.4021447	101
 155.0000000    0.5886985	91
 157.5000000    0.4912448	109
 160.0000000    0.8075700	77
 162.5000000    0.7092039	71
 165.0000000    0.8018209	68
 167.5000000    0.5227793	79
 170.0000000    0.5227482	96
 172.5000000    0.6576673	72
 175.0000000    0.6818042	72
 177.5000000    0.8796985	82
 180.0000000    1.1281588	71
 182.5000000    0.9576408	72
 185.0000000    0.9270437	67
 187.5000000    0.6892616	88
 190.0000000    0.8722054	96
 192.5000000    0.9653301	57
 195.0000000    1.2254609	50
 197.5000000    1.3201753	47
 200.0000000    1.3029747	33
 202.5000000    1.5898994	20
 205.0000000    1.7630959	15
 207.5000000    1.6920413	32
 210.0000000    1.4167335	15
 212.5000000    1.3827540	18
 215.0000000    1.5603980	28
 217.5000000    1.2761636	18
 220.0000000    1.2884339	19
 222.5000000    1.3913776	17
 225.0000000    1.5652466	17
 227.5000000    1.7703195	14
 230.0000000    1.9226620	16
 232.5000000    1.9338065	11
 235.0000000    1.9608642	19
 237.5000000    2.3431773	10
 240.0000000    2.5197608	17
 242.5000000    2.2232997	16
 245.0000000    1.9507220	23
 247.5000000    1.8964298	16
 250.0000000    1.8224933	15
 252.5000000    1.8693784	12
 255.0000000    2.0086718	19
 257.5000000    1.9550359	16
 260.0000000    1.4852279	29
 262.5000000    1.2066671	21
 265.0000000    1.3888928	27
 267.5000000    1.3111030	32
 270.0000000    1.3228916	30
 272.5000000    1.3280514	28
 275.0000000    1.3062919	38
 277.5000000    1.3059397	30
 280.0000000    1.4241204	32
 282.5000000    1.5150448	24
 285.0000000    1.8274524	14
 287.5000000    1.4718796	24
 290.0000000    1.6251589	12
 292.5000000    1.8666900	9
 295.0000000    1.7003305	5
 297.5000000    1.5375761	21
 300.0000000    1.6472198	24
 302.5000000    1.5341358	34
 305.0000000    1.3315425	32
 307.5000000    1.5113947	34
 310.0000000    1.5171024	28
 312.5000000    1.4783775	16
 315.0000000    1.4137989	28
 317.5000000    1.3362130	20
 320.0000000    1.4442725	27
 322.5000000    1.6906385	18
 325.0000000    1.3286172	38
 327.5000000    1.1658608	39
 330.0000000    1.3426868	46
 332.5000000    1.4413884	23
 335.0000000    1.4595251	28
 337.5000000    1.2637630	41
 340.0000000    1.5385655	33
 342.5000000    1.6075248	46
 345.0000000    1.7729596	42
 347.5000000    1.7508632	32
 350.0000000    1.7719218	18
 352.5000000    1.6774436	35
 355.0000000    1.2998443	27
 357.5000000    1.7379985	33
 360.0000000    1.5258298	11
 362.5000000    1.4701486	15
 365.0000000    1.4646025	23
 367.5000000    1.2406317	31
 370.0000000    1.3796542	22
 372.5000000    1.4665263	29
 375.0000000    1.3624550	26
 377.5000000    1.3748312	25
 380.0000000    1.4812884	22
 382.5000000    1.6234832	13
 385.0000000    1.6927991	9
 387.5000000    2.0112443	12
 390.0000000    2.0941849	16
 392.5000000    2.5256774	25
 395.0000000    2.7761669	21
 397.5000000    2.8080828	19
 400.0000000    2.4369004	44
 402.5000000    2.2773478	40
 405.0000000    2.4000480	34
 407.5000000    2.2758591	18
 410.0000000    2.2668653	22
 412.5000000    2.0454507	23
 415.0000000    2.1861801	25
 417.5000000    2.3876293	19
 420.0000000    2.3779962	18
 422.5000000    2.5090554	31
 425.0000000    2.2515860	10
 427.5000000    2.4197257	9
 430.0000000    2.6630590	8
 432.5000000    2.2012265	14
 435.0000000    1.9845335	29
 437.5000000    1.6581596	13
 440.0000000    1.6083021	18
 442.5000000    1.3635045	26
 445.0000000    1.4229035	27
 447.5000000    1.5259668	35
 450.0000000    1.4063882	45
 452.5000000    1.4515157	27
 455.0000000    1.5575020	31
 457.5000000    1.2515106	27
 460.0000000    0.9182176	57
 462.5000000    1.0434649	65
 465.0000000    1.3701222	72
 467.5000000    1.8164463	60
 470.0000000    1.5354134	58
 472.5000000    1.5467160	40
 475.0000000    1.4419776	35
 477.5000000    1.2874845	49
 480.0000000    1.2711549	39
 482.5000000    1.2919071	23
 485.0000000    1.1300918	29
 487.5000000    1.3841590	23
 490.0000000    1.5326881	16
 492.5000000    1.3559304	26
 495.0000000    1.4164768	26
 497.5000000    1.4729594	23
 500.0000000    1.3110504	30
 502.5000000    1.4301971	32
 505.0000000    1.3708923	23
 507.5000000    1.3988037	19
 510.0000000    1.6721464	32
 512.5000000    1.6374580	33
 515.0000000    1.5391067	31
 517.5000000    1.6569620	11
 520.0000000    1.5785078	23
 522.5000000    1.7050037	10
 525.0000000    1.9736247	14
 527.5000000    2.0488453	14
 530.0000000    1.9615828	12
 532.5000000    1.7632192	31
 535.0000000    1.9336275	19
 537.5000000    1.9033674	11
 540.0000000    1.8479007	17
 542.5000000    1.6615211	13
 545.0000000    1.6007689	18
 547.5000000    2.1278322	12
